"ID";"ARTICLE";"SECTION_NAME";"NAME";"DESCRIPTION";"PRICE";"URL";"SALES";"PREORDER"
"58272";"nsv0041763";"Кофеварки и кофемашины";"Эспрессо кофемашина DeLonghi PrimaDonna Soul ECAM 610.75.MB";"кофемашина, 1450 Вт, корпус металл/пластик, капучинатор автоматический, используемый кофе: молотый/зерновой, цвет серебристый/черный";"4672.77 BYN";"/catalog/tekhnika-dlja-prigotovlenija-napitkov/kofevarki-i-kofemashiny/delonghi-primadonna-soul-ecam-610-75-mb/";"Y";"N"
"58288";"nsv0041746";"Офисные кресла и стулья";"Кресло Canyon Nightfall CND-SGCH7";"игровое, механизм DMS (Топ-Ган, Tilt), максимальная нагрузка 150 кг";"898.29 BYN";"/catalog/mebel-dlja-doma/gejmerskie-kresla/canyon-nightfall-cnd-sgch7/";"N";"N"
"58452";"nsv0041973";"Беспроводные маршрутизаторы";"4G Wi-Fi роутер TP-Link TL-MR150";"802.11n, 2.4 ГГц, до 300 Mbps, 4x100Mbit LAN, 1xWAN";"359.25 BYN";"/catalog/kompyutery-i-seti/setevoe-oborudovanie/besprovodnye-marshrutizatory/tp-link-tl-mr150/";"N";"N"
"58499";"25531598-9b68-11eb-8154-005056010333";"Кабели";"Кабель Digitalpart LC-73 lightning в оплетке, серый";"";"11.90 BYN";"/catalog/aksessuary/kabeli/kabel-digitalpart-lc-73-lightning-v-opletke-seryj/";"Y";"N"
"58500";"6ed244dc-9b66-11eb-8154-005056010333";"Кабели";"Кабель Digitalpart MC-59 microusb 1.5м, белый";"";"12.90 BYN";"/catalog/aksessuary/kabeli/kabel-digitalpart-mc-59-microusb-1-5m-belyj/";"N";"N"
"58501";"09de0223-9b66-11eb-8154-005056010333";"Кабели";"Кабель Digitalpart MC-59 microusb, белый";"";"10.90 BYN";"/catalog/aksessuary/kabeli/kabel-digitalpart-mc-59-microusb-belyj/";"N";"N"
"58502";"2b5148c5-9b66-11eb-8154-005056010333";"Кабели";"Кабель Digitalpart MC-59 microusb, черный";"";"10.90 BYN";"/catalog/aksessuary/kabeli/kabel-digitalpart-mc-59-microusb-chernyj/";"N";"N"
"58503";"89aed8c8-9b65-11eb-8154-005056010333";"Кабели";"Кабель Digitalpart TC-59 Type-c 1.5м, белый";"";"9.90 BYN";"/catalog/aksessuary/kabeli/kabel-digitalpart-tc-59-type-c-1-5m-belyj/";"Y";"N"
"58527";"nsv0041892";"Наушники";"Наушники SVEN AP-U1001MV (черный, красный)";"наушники с микрофоном, мониторные (охватывающие), геймерские, 50-20000 Гц, кабель 2.2 м";"112.25 BYN";"/catalog/audiotekhnika/naushniki/sven-ap-u1001mv/";"Y";"N"
"58533";"nsv0041898";"Геймпады и контроллеры";"Руль SVEN GC-W300";"для PC, педали, обратная связь";"187.08 BYN";"/catalog/gamezone/gejmpady-i-kontrollery/sven-gc-w300/";"N";"N"
"58548";"nsv0041914";"Мыши";"Игровая мышь A4Tech Bloody J95S Grey";"полноразмерная игровая мышь для ПК, проводная USB, сенсор оптический 8000 dpi, 9 кнопок, колесо с нажатием, цвет серый";"104.85 BYN";"/catalog/kompyutery-i-seti/myshi/a4tech-bloody-j95s-grey/";"N";"N"
"58549";"nsv0041915";"Мыши";"Игровая мышь A4Tech Bloody J95S Satellite";"полноразмерная игровая мышь для ПК, проводная USB, сенсор оптический 8000 dpi, 9 кнопок, колесо с нажатием, цвет серый/черный";"101.25 BYN";"/catalog/kompyutery-i-seti/myshi/a4tech-bloody-j95s-satellite/";"Y";"N"
"58551";"nsv0041917";"Мыши";"Игровая мышь A4Tech Bloody X5 Max";"полноразмерная игровая мышь для ПК, проводная USB, сенсор оптический 10000 dpi, 5 кнопок, колесо с нажатием, цвет черный";"104.40 BYN";"/catalog/kompyutery-i-seti/myshi/a4tech-bloody-x5-max/";"N";"N"
"58562";"nsv0041928";"Мыши";"Мышь Logitech M330 Silent Plus (черный) [910-004909]";"полноразмерная мышь для ПК, радио, сенсор оптический 1000 dpi, 3 кнопки, колесо с нажатием, цвет черный";"101.46 BYN";"/catalog/kompyutery-i-seti/myshi/logitech-m330-silent-plus-chernyj/";"N";"N"
"58574";"nsv0041940";"Чайники и термопоты";"Электрочайник Sencor SWK 1795SS";"2200 Вт, объем 1.7 л, терморегулятор, подсветка, цвет нержавеющая сталь/черный";"159.00 BYN";"/catalog/tekhnika-dlja-prigotovlenija-napitkov/chajniki-i-termopoty/sencor-swk-1795ss/";"N";"N"
"58604";"nsv0042019";"Кофеварки и кофемашины";"Рожковая помповая кофеварка DeLonghi Stilosa EC230.BK";"рожковая помповая кофеварка, 1100 Вт, корпус пластик, капучинатор ручной, используемый кофе: молотый, цвет черный";"478.47 BYN";"/catalog/tekhnika-dlja-prigotovlenija-napitkov/kofevarki-i-kofemashiny/delonghi-stilosa-ec230-bk/";"Y";"N"
"58605";"nsv0042020";"Кофеварки и кофемашины";"Рожковая помповая кофеварка DeLonghi Active Line ECP 33.21.BK";"рожковая помповая кофеварка, 1100 Вт, корпус пластик, капучинатор ручной, используемый кофе: молотый/чалды, цвет серебристый/черный";"527.67 BYN";"/catalog/tekhnika-dlja-prigotovlenija-napitkov/kofevarki-i-kofemashiny/delonghi-active-line-ecp-33-21-bk/";"N";"N"
